TweetID,TweetText,Label
1,"I feel so alone, even when I'm with people.",Depressed
2,"I feel so alone, even when I'm with people.",Depressed
3,I'm really enjoying this new book I'm reading.,Not_Depressed
4,I feel like a burden to everyone around me.,Depressed
5,I don't see any light at the end of the tunnel.,Depressed
6,I've lost interest in everything I used to love.,Depressed
7,I feel like a burden to everyone around me.,Depressed
8,I'm really enjoying this new book I'm reading.,Not_Depressed
9,Got a promotion at work today! So excited.,Not_Depressed
10,I've lost interest in everything I used to love.,Depressed
11,I've lost interest in everything I used to love.,Depressed
12,Everything feels so heavy and meaningless.,Depressed
13,"Today was a great day, I feel so happy!",Not_Depressed
14,Life is beautiful and full of possibilities.,Not_Depressed
15,"Today was a great day, I feel so happy!",Not_Depressed
16,"Today was a great day, I feel so happy!",Not_Depressed
17,I cry for no reason almost every day.,Depressed
18,I've lost interest in everything I used to love.,Depressed
19,Had a wonderful time at the park today.,Not_Depressed
20,The sun is shining and I feel energized.,Not_Depressed
21,I don't see any light at the end of the tunnel.,Depressed
22,Everything is just too much to handle right now.,Depressed
23,Had a wonderful time at the park today.,Not_Depressed
24,I'm feeling really productive this morning.,Not_Depressed
25,Looking forward to the weekend with my friends!,Not_Depressed
26,Got a promotion at work today! So excited.,Not_Depressed
27,It's hard to even get out of bed in the morning.,Depressed
28,I feel so hopeless and tired all the time.,Depressed
29,I don't see any light at the end of the tunnel.,Depressed
30,It's hard to even get out of bed in the morning.,Depressed
31,Life is beautiful and full of possibilities.,Not_Depressed
32,Everything is just too much to handle right now.,Depressed
33,Life is beautiful and full of possibilities.,Not_Depressed
34,Life is beautiful and full of possibilities.,Not_Depressed
35,It's hard to even get out of bed in the morning.,Depressed
36,I feel like a burden to everyone around me.,Depressed
37,I cry for no reason almost every day.,Depressed
38,It's hard to even get out of bed in the morning.,Depressed
39,The sun is shining and I feel energized.,Not_Depressed
40,I don't see any light at the end of the tunnel.,Depressed
41,I feel so hopeless and tired all the time.,Depressed
42,Everything feels so heavy and meaningless.,Depressed
43,I've lost interest in everything I used to love.,Depressed
44,I cry for no reason almost every day.,Depressed
45,I feel like a burden to everyone around me.,Depressed
46,It's hard to even get out of bed in the morning.,Depressed
47,Everything feels so heavy and meaningless.,Depressed
48,I feel like a burden to everyone around me.,Depressed
49,I cry for no reason almost every day.,Depressed
50,The sun is shining and I feel energized.,Not_Depressed
51,I feel like a burden to everyone around me.,Depressed
52,Just had a delicious lunch!,Not_Depressed
53,Got a promotion at work today! So excited.,Not_Depressed
54,Everything is just too much to handle right now.,Depressed
55,I cry for no reason almost every day.,Depressed
56,Life is beautiful and full of possibilities.,Not_Depressed
57,Everything is just too much to handle right now.,Depressed
58,The sun is shining and I feel energized.,Not_Depressed
59,I cry for no reason almost every day.,Depressed
60,"I feel so alone, even when I'm with people.",Depressed
61,I'm really enjoying this new book I'm reading.,Not_Depressed
62,Everything is just too much to handle right now.,Depressed
63,I'm really enjoying this new book I'm reading.,Not_Depressed
64,Looking forward to the weekend with my friends!,Not_Depressed
65,Everything is just too much to handle right now.,Depressed
66,I don't see any light at the end of the tunnel.,Depressed
67,I'm so grateful for my supportive friends.,Not_Depressed
68,I've lost interest in everything I used to love.,Depressed
69,I feel so hopeless and tired all the time.,Depressed
70,The sun is shining and I feel energized.,Not_Depressed
71,Looking forward to the weekend with my friends!,Not_Depressed
72,Life is beautiful and full of possibilities.,Not_Depressed
73,Everything is just too much to handle right now.,Depressed
74,Had a wonderful time at the park today.,Not_Depressed
75,I'm really enjoying this new book I'm reading.,Not_Depressed
76,Life is beautiful and full of possibilities.,Not_Depressed
77,Looking forward to the weekend with my friends!,Not_Depressed
78,I just want to stay in bed and never wake up.,Depressed
79,It's hard to even get out of bed in the morning.,Depressed
80,I'm feeling really productive this morning.,Not_Depressed
81,I cry for no reason almost every day.,Depressed
82,I'm really enjoying this new book I'm reading.,Not_Depressed
83,I cry for no reason almost every day.,Depressed
84,Looking forward to the weekend with my friends!,Not_Depressed
85,Had a wonderful time at the park today.,Not_Depressed
86,I cry for no reason almost every day.,Depressed
87,It's hard to even get out of bed in the morning.,Depressed
88,I cry for no reason almost every day.,Depressed
89,I cry for no reason almost every day.,Depressed
90,I just want to stay in bed and never wake up.,Depressed
91,The sun is shining and I feel energized.,Not_Depressed
92,I feel like a burden to everyone around me.,Depressed
93,The sun is shining and I feel energized.,Not_Depressed
94,"I feel so alone, even when I'm with people.",Depressed
95,Got a promotion at work today! So excited.,Not_Depressed
96,Just had a delicious lunch!,Not_Depressed
97,Everything is just too much to handle right now.,Depressed
98,I feel like a burden to everyone around me.,Depressed
99,Everything feels so heavy and meaningless.,Depressed
100,Everything is just too much to handle right now.,Depressed
101,Just had a delicious lunch!,Not_Depressed
102,Just had a delicious lunch!,Not_Depressed
103,The sun is shining and I feel energized.,Not_Depressed
104,I just want to stay in bed and never wake up.,Depressed
105,I've lost interest in everything I used to love.,Depressed
106,"I feel so alone, even when I'm with people.",Depressed
107,I cry for no reason almost every day.,Depressed
108,Had a wonderful time at the park today.,Not_Depressed
109,"Today was a great day, I feel so happy!",Not_Depressed
110,The sun is shining and I feel energized.,Not_Depressed
111,Life is beautiful and full of possibilities.,Not_Depressed
112,I'm feeling really productive this morning.,Not_Depressed
113,It's hard to even get out of bed in the morning.,Depressed
114,Had a wonderful time at the park today.,Not_Depressed
115,Life is beautiful and full of possibilities.,Not_Depressed
116,I feel so hopeless and tired all the time.,Depressed
117,Just had a delicious lunch!,Not_Depressed
118,I feel so hopeless and tired all the time.,Depressed
119,"Today was a great day, I feel so happy!",Not_Depressed
120,It's hard to even get out of bed in the morning.,Depressed
121,Had a wonderful time at the park today.,Not_Depressed
122,Everything is just too much to handle right now.,Depressed
123,Everything feels so heavy and meaningless.,Depressed
124,"I feel so alone, even when I'm with people.",Depressed
125,I've lost interest in everything I used to love.,Depressed
126,I don't see any light at the end of the tunnel.,Depressed
127,Had a wonderful time at the park today.,Not_Depressed
128,Everything is just too much to handle right now.,Depressed
129,Had a wonderful time at the park today.,Not_Depressed
130,I cry for no reason almost every day.,Depressed
131,I feel so hopeless and tired all the time.,Depressed
132,I'm so grateful for my supportive friends.,Not_Depressed
133,"I feel so alone, even when I'm with people.",Depressed
134,I don't see any light at the end of the tunnel.,Depressed
135,I've lost interest in everything I used to love.,Depressed
136,Everything feels so heavy and meaningless.,Depressed
137,I'm really enjoying this new book I'm reading.,Not_Depressed
138,I don't see any light at the end of the tunnel.,Depressed
139,Everything is just too much to handle right now.,Depressed
